id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
39,ACETATO DE DEXAMETASONA,NCT00256776,MMVAR - Velcade: Study of Velcade for the Treatment of Myeloma Patients After Autologous Transplantation,Multiple Myeloma,"Velcade (Bortezomib), Thalidomide, Dexamethasone","Median Time to Progression (TTP), Progression Free Survival, Overall Survival (Interval Between Date of Randomization and Death From Any Cause, Response Rate (Proportion of Subjects Who Achieve Complete, Partial, or Minimal Response)"
39,ACETATO DE DEXAMETASONA,NCT01222260,Bendamustine and Dexamethasone in Patients With Relapsed AL Amyloidosis,AL Amyloidosis,"Bendamustine, Dexamethasone","Partial Hematologic Response (PHR) Rate, Overall Hematologic Response Rate (OHR), Organ Response Rate (ORR), Median Overall Survival (OS)"
39,ACETATO DE DEXAMETASONA,NCT02049476,Study of the Effectiveness of Ozurdex for the Control of Uveitis,"Uveitis, Intermediate, Uveitis, Posterior",Dexamethasone pellet,"Number of Participants With Absence of Intraocular Inflammation at 6 Months, Number of Participants With Absence of Intraocular Inflammation at 12 Months, Mean Intraocular Pressure (IOP), Number of Eyes With a Need for Cataract Surgery"
40,ACETATO DE HIDROCORTISONA,NCT00953576,"Ketoconazole, Hydrocortisone, Dutasteride and Lapatinib (KHAD-L) in Prostate Cancer",Prostate Cancer,"ketoconazole, hydrocortisone, dutasteride, lapatinib","Lapatinib Maximum Tolerated Dose (MTD) [Phase I], Lapatinib Dose Limiting Toxicity (DLT) [Phase I], Plasma Lapatinib Levels [Phase I], Grade 3-4 Treatment-Related Adverse Events Rate"
40,ACETATO DE HIDROCORTISONA,NCT03071276,Selinexor in Combination With Fludarabine and Cytarabine in Patients With Refractory or Relapsed Acute Myeloid Leukemia,Acute Myeloid Leukemia (AML),"Selinexor, Fludarabine, Cytarabine, methotrexate/hydrocortisone/cytarabine","The Overall Response (OR) Rate (Complete Response + Incomplete Count Recovery + Partial Response), Complete Response, Complete Response or Complete Response With Incomplete Count Recovery"
41,ACETATO DE PREDNISOLONA,NCT04556760,"Study to Assess the Effect on Glucose Homeostasis of Two Dose Levels of AZD9567, Compared to Prednisolone, in Adults With Type 2 Diabetes","Diabetes Mellitus, Type 2","AZD9567, Prednisolone, Placebo","Change From Baseline in Glucose Area Under the Plasma Concentration Versus Time Curve From Zero to 4 Hours Post-dose AUC(0-4), Mean Glucose Level as Determined Via the Continuous Glucose Monitoring (CGM) System, Rise in Mean Glucose Levels Over 24-hour Periods From Start of IMP Dosing, Change From Baseline in Fasting Glucose, Change From Baseline AUC(0-4) on Hormones Related to Glucose Homeostasis (Insulin), Change From Baseline AUC(0-4) on Hormones Related to Glucose Homeostasis (Glucagon), Change From Baseline AUC(0-4) on Hormones Related to Glucose Homeostasis (Glucagon-like Peptide-1 [GLP-1]), Change From Baseline AUC(0-4) on Hormones Related to Glucose Homeostasis (Glucose-dependent Insulin Releasing Polypeptide [GIP]), Change From Baseline in AUC(0-4) on C-peptide, Change From Baseline in Ratio of Insulin to Glucose Level Between 10 and 0 Minutes (ΔI10/ΔG10), Change From Baseline in Ratio of Insulin to Glucose Level Between 30 and 0 Minutes [ΔI30/ΔG30]), Change From Baseline in Ratio of C-peptide to Glucose Level Between 10 and 0 Minutes (ΔC10/ΔG10), Change From Baseline in Ratio of C-peptide to Glucose Level Between 30 and 0 Minutes (ΔC30/ΔG30), Change From Baseline in 24-hour Urinary Potassium Excretion, Change From Baseline in 24-hour Urinary Sodium Excretion, Area Under the Plasma Concentration Versus Time Curve From Zero to the Last Quantifiable Concentration (AUClast), Area Under the Plasma Concentration Versus Time Curve From Zero to 24 Hours Post-dose [AUC(0-24)], Area Under the Plasma Concentration Versus Time Curve From Zero to 6 Hours Post-dose [AUC(0-6)], Maximum Observed Drug Concentration (Cmax), Time to Reach Maximum Observed Drug Concentration (Tmax), Terminal Elimination Half-life (t½λz), Apparent Total Body Clearance of Drug From Plasma After Extravascular (CL/F), Apparent Volume of Distribution Following Extravascular Administration (Vz/F), Tumour Necrosis Factor Alpha (TNFα) Concentrations, Change From Baseline AUC(0-4) on Hormones Related to Glucose Homeostasis (Free Fatty Acids), Change From Baseline in Homeostatic Model Assessment- Insulin Resistance (HOMA-IR), Change From Baseline in HOMA-insulin Sensitivity (HOMA-S), Number of Participants With Adverse Events"
42,ACETATO DE SÓDIO TRI-HIDRATADO,NCT02340962,Evaluate the Efficacy and Safety of TG-2349 in Subjects With Hepatitis C Infection,"Hepatitis C, Chronic","TG-2349, Ribavirin, Interferon Alfa-2a","Proportion of Subjects Achieving Sustained Viral Response at 12 Weeks After the End of Treatment., Proportion of Subjects Achieving Sustained Viral Response at 4, 8, and 24 Weeks After the End of Treatment (SVR4, SVR8, and SVR24), Proportion of Subjects Achieving HCV RNA < Lower Limit of Quantification, Target Detected or Target Not Detected (< LLOQ, TD or TND), Proportion of Subjects Achieving HCV RNA < LLOQ, TND, Mean Absolute Values in HCV RNA (log10 IU/mL), Proportion of Subjects Experiencing Virologic Failure During Treatment and Viral Relapse After the End of Treatment., Proportion of Subjects With Abnormal Alanine Aminotransferase (ALT) Levels at Baseline Who Achieved Normal Limit of ALT at Final Treatment Visit., Change From Baseline in HCV RNA (log10 IU/mL)"
42,ACETATO DE SÓDIO TRI-HIDRATADO,NCT04829344,A Study of the Safety and Anesthetic Effect of AG-920 Topical Ophthalmic Solution,"Anesthesia, Local","AG-920, Placebo","The Percentage of Patients Who Experienced Ocular Anesthesia Following Treatment of AG-920 Compared to Placebo at 5 Minutes, How Long it Takes One Dose of AG-920 to Anesthetize the Eye, How Long One Dose of AG-920 Anesthetizes the Eye, Number of Participants With Treatment Emergent Adverse Events (TEAEs), Number of Participants With a Change in Biomicroscopy, Change in Visual Acuity"
42,ACETATO DE SÓDIO TRI-HIDRATADO,NCT02668952,Fluid Chloride and AKI in Cardiopulmonary Bypass,Acute Kidney Injury,"0.9% Normal Saline (0.9% Sodium Chloride) injection, Isolyte S injection","Change in [TIMP2]*[IGFBP7] Biomarker, Serum Creatinine Level at 24 Hours, Serum Chloride Level at 24 Hours, Proportion of Patients With Need for Dialysis, Postoperative Arterial pH, Serum Creatinine Level at 48 Hours, Serum Chloride at 48 Hours"
42,ACETATO DE SÓDIO TRI-HIDRATADO,NCT04513652,A Study of the Safety and Anesthetic Effect of AG-920 Topical Ophthalmic Solution,"Anesthesia, Local","AG-920, Placebo","The Number of Patients Who Experienced Ocular Anesthesia Following Treatment of AG-920 Compared to Placebo at 5 Minutes, Time in Minutes of AG-920 to Anesthetize the Eye, To Evaluate How Long One Dose of AG-920 Anesthetizes the Eye, Number of Participants With Treatment Emergent Adverse Events (TEAEs), Number of Participants With a Change in Biomicroscopy, Mean Change in Visual Acuity"
42,ACETATO DE SÓDIO TRI-HIDRATADO,NCT03406377,Effects and Safety of OPK-88003 Dose Escalation in Type 2 Diabetes Subjects,Type 2 Diabetes Mellitus,"OPK-88003, Placebo","Change in HbA1c in Subjects With Type 2 DM, Mean Percent (%) Body Weight Change, Percent (%) of Subjects With 5% or Greater Body Weight Loss., Change From Baseline of Fasting Plasma Glucose (FPG)."
43,DEXAMETASONA,NCT00256776,MMVAR - Velcade: Study of Velcade for the Treatment of Myeloma Patients After Autologous Transplantation,Multiple Myeloma,"Velcade (Bortezomib), Thalidomide, Dexamethasone","Median Time to Progression (TTP), Progression Free Survival, Overall Survival (Interval Between Date of Randomization and Death From Any Cause, Response Rate (Proportion of Subjects Who Achieve Complete, Partial, or Minimal Response)"
43,DEXAMETASONA,NCT01222260,Bendamustine and Dexamethasone in Patients With Relapsed AL Amyloidosis,AL Amyloidosis,"Bendamustine, Dexamethasone","Partial Hematologic Response (PHR) Rate, Overall Hematologic Response Rate (OHR), Organ Response Rate (ORR), Median Overall Survival (OS)"
43,DEXAMETASONA,NCT02049476,Study of the Effectiveness of Ozurdex for the Control of Uveitis,"Uveitis, Intermediate, Uveitis, Posterior",Dexamethasone pellet,"Number of Participants With Absence of Intraocular Inflammation at 6 Months, Number of Participants With Absence of Intraocular Inflammation at 12 Months, Mean Intraocular Pressure (IOP), Number of Eyes With a Need for Cataract Surgery"
44,ACETILCISTEÍNA,NCT02141620,n-Acetylcysteine and Cocaine,"Cocaine Abuse, Cocaine Dependence","Cocaine, n-Acetylcysteine, Placebo","Number of Times Cocaine Was Selected in the Presence of a Monetary Reward Alternative, Peak Score on Sedative Subscale of the Adjective Rating Scale, Peak Score on Stimulant Subscale of the Adjective Rating Scale, Peak Ratings of ""Active, Alert, Energetic"" on the Visual Analog Scale, Peak Ratings of ""Any Effect"" on the Visual Analog Scale, Peak Ratings of ""Bad Effects"" on the Visual Analog Scale, Peak Ratings of ""Euphoric"" on the Visual Analog Scale, Peak Ratings of ""Good Effects"" on the Visual Analog Scale, Peak Ratings of ""High"" on the Visual Analog Scale, Peak Ratings of ""Irregular/Racing Heartbeat"" on the Visual Analog Scale, Peak Ratings of ""Like Drug"" on the Visual Analog Scale, Peak Ratings of ""Nauseous"" on the Visual Analog Scale, Peak Ratings of ""Nervous/Anxious"" on the Visual Analog Scale, Peak Ratings of ""Willing to Pay For"" on the Visual Analog Scale, Peak Ratings of ""Performance Impaired"" on the Visual Analog Scale, Peak Ratings of ""Performance Improved"" on the Visual Analog Scale, Peak Ratings of ""Restless"" on the Visual Analog Scale, Peak Ratings of ""Rush"" on the Visual Analog Scale, Peak Ratings of ""Shaky/Jittery"" on the Visual Analog Scale, Peak Ratings of ""Sluggish/Fatigued/Lazy"" on the Visual Analog Scale, Peak Ratings of ""Stimulated"" on the Visual Analog Scale, Peak Ratings of ""Willing to Take Again"" on the Visual Analog Scale, Peak Ratings of ""Talkative/Friendly"" on the Visual Analog Scale, Peak Diastolic Blood Pressure, Peak Systolic Blood Pressure, Peak Heart Rate, Peak Temperature"
47,NISTATINA,NCT04438174,Processed Amniotic Fluid (pAF) for the Treatment of Chronic Wounds,Wounds and Injuries,"Processed Amniotic Fluid, Standard of Care Wound Treatment Regimen","Safety - Adverse Events Including Serious Adverse Events, Feasibility - Reduction in Wound Size - Secondary Outcome Per Secondary Assessor, Feasibility - Reduction in Wound Size - Secondary Outcome Per Primary Assessor"
47,NISTATINA,NCT00634166,Effects of Therapy With Sulfamylon® 5% Topical Solution Compared to a Historical Control Group,Burns,"Sulfamylon® For 5 % Topical Solution, Topical Antimicrobial/Antifungal Medications","Percentage of Participants With Graft Loss After Initial Meshed Autograft Procedure on Days 5-7., Percentage of Participants With All-cause Graft Loss at Days 12 to 14 in the FAS Population, Percentage of Participants With All-cause Graft Loss at Days 18 to 21 in the FAS Population, Percentage of Participants With Treatment Failure at Days 5 to 7 in the FAS Population, Percentage of Participants With Infectious Graft Loss at Days 5 to 7 in the FAS Population, Percentage of Participants With Infectious Graft Loss at Days 12 to 14 in the FAS Population, Percentage of Participants With Infectious Graft Loss at Days 18 to 21 in the FAS Population"
49,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,NCT00404820,Safety/Efficacy of Zoledronic Acid and Alendronate on Bone Metabolism in Postmenopausal Women With Osteoporosis,Osteoporosis,"Zoledronic acid 5 mg solution, Alendronate 70 mg tablets, Calcium/Vitamin D","Change of Cross-linked N-telopeptide of Type I Collagen (NTx) Level Assessed as Standardized Area Under the Curve From Screening to Month 12 in the Intent-to-Treat Population, Change of Procollagen Type I Nitrogenous Propeptide (P1NP) Level Assessed as Standardized Area Under the Curve From Screening to Month 12, Change in the Qualeffo-41 Quality of Life (QoL) Questionnaire Score From Baseline to Month 12, Number of Patients With a Clinical Fracture From Baseline to Month 12, Change in Body Height From Baseline to Month 12, Therapy Preference at End of Study (Month 12), Change of Cross-linked N-telopeptide of Type I Collagen (NTx) Level Assessed as Standardized Area Under the Curve From Screening to Month 12 in the Per Protocol Population"
50,ÁCIDO FÓLICO,NCT02345460,Preoperative Folfirinox for Resectable Pancreatic Adenocarcinoma - A Phase II Study,"Pancreatic Adenocarcinoma, Poorly Differentiated Malignant Neoplasm, Resectable Pancreatic Cancer, Stage IA Pancreatic Cancer, Stage IB Pancreatic Cancer, Stage IIA Pancreatic Cancer, Stage IIB Pancreatic Cancer, Stage III Pancreatic Cancer, Undifferentiated Pancreatic Carcinoma","Irinotecan Hydrochloride, Oxaliplatin, Leucovorin Calcium, Fluorouracil, Laboratory Biomarker Analysis","Number of Patients Undergoing Surgical Resection After Receiving at Least 4 of the 6 Courses of Preoperative Chemotherapy, Progression-free Survival, Overall Survival, Incidence of Toxicities Greater Than Grade 2, Using the Common Terminology Criteria for Adverse Events Version 4.0, Response Rate Assessed Using Response Evaluation Criteria in Solid Tumors Version 1.1, Number of Participants Achieving Major Pathologic Response, Number of Participants Achieving R0 Resection, Number of Participants Experiencing Perioperative (30-day) Mortality"
52,CLORIDRATO DE VALACICLOVIR,NCT00158860,A Study Comparing Daily Treatment With Valaciclovir To Placebo For Suppression Of Herpes Simplex Virus HSV-2 Genital Herpes In Newly Diagnosed Patients. VALTREX® Tablet is a Trademark of the GlaxoSmithKline Group of Companies.,Herpes Genitalis,"Valaciclovir, Placebo","Percentage of Participants With Time to First GH Recurrence, Mean Number of GH Recurrences Per Month Within the 6-month Study Period, Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs), Percentage of Participants With Time to First Oral Herpes Simplex Virus (HSV) Outbreak Within 6-months, Number of Isolates With Resistance to Acyclovir (ACV)"
52,CLORIDRATO DE VALACICLOVIR,NCT01390857,Special Drug Use Investigation for VALTREX (Valaciclovir) (Pediatrics Chickenpox),Varicella,Valaciclovir,"Number of Participants With Any Serious Adverse Event, Number of Participants With the Indicated Adverse Drug Reactions, Number of Participants With Any Unexpected Adverse Drug Reactions, Number of Participants Classified as Effective and Not Effective"
53,ACICLOVIR,NCT00031460,Acyclovir for Herpes Infections Involving the Central Nervous System in Neonates,Herpes Simplex,"Acyclovir, Placebo","Participants With Neurologic Impairment at 12 Months as Measured by a Bayley's Neuro-developmental Assessment (Motor Scores)., Number of Participants With Two or Fewer Episodes of Cutaneous Recurrence of Herpes Simplex Virus (HSV) Disease Post-randomization During the Initial 12 Months of Life., Detection of Herpes Simplex Virus (HSV) DNA in the Cerebrospinal Fluid (CSF) by PCR at Anytime During the Initial 12 Months of Life., Participants With Neurologic Impairment at 12 Months as Measured by Bayley's Neuro-developmental Assessment.(Mental Scores)"
53,ACICLOVIR,NCT00723229,A Randomized Trial to Evaluated the Suppressive Effect of Acyclovir on Rapidly Cleared HSV-2 Reactivation,Genital Herpes,acyclovir,"Frequency of HSV-2 Total Shedding From the Genital Tract as Measured by PCR, Calculated Using a Per-day Shedding Rate in Participants Treated With Suppressive Acyclovir as Compared to no Medication in HIV Seronegative and HIV Seropositive Individuals., Quantity of HSV Detected, Median, Number of Genital HSV Shedding Episodes, Duration of Genital HSV Shedding Episodes"
