Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
bimatoprosta;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0777935236;26/07/2023;TODAS
TOPERMA;GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.;10.555.143/0001-13;0547670257;23/04/2025;TODAS
LOSARTANA POTÁSSICA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0578827255;29/04/2025;TODAS
TRULICITY;ELI LILLY DO BRASIL LTDA;43.940.618/0001-44;0814519253;18/06/2025;TODAS
CITRATO DE SILDENAFILA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1045862180;31/10/2018;TODAS
DORSANOL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1338907206;30/04/2020;TODAS
CITALOPRAM;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1119635250;19/08/2025;TODAS
OXYCONTIN;MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA;15.127.898/0001-30;0963891235;12/09/2023;TODAS
atenolol;CIMED INDUSTRIA S.A;02.814.497/0001-07;0977500205;01/04/2020;TODAS
SURVANTA;ABBVIE FARMACÊUTICA LTDA.;15.800.545/0001-50;3978792203;12/11/2020;TODAS
CABERGOLINA;FUNDAÇÃO BAIANA DE PESQ. CIENTIFICA E DESENV. TECNOLOGICO, FORNECIMENTO E DISTRIBUIÇÃO DE MEDICAMENTOS-BAHIAFARMA;13.078.518/0001-90;0839526218;03/03/2021;TODAS
INSULIV R;EMS S/A;57.507.378/0003-65;1471059215;17/04/2021;TODAS
FLYARE;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;0843926252;27/06/2025;TODAS
CARDOMARIN;NATULAB LABORATORIO S.A;02.456.955/0001-83;1516105249;04/11/2024;TODAS
SECNIDAZOL;BRASTERAPICA PHARMACEUTICA LTDA.;46.179.008/0001-68;0556917251;25/04/2025;TODAS
COGNITUS;HERBARIUM LABORATORIO BOTANICO LTDA;78.950.011/0001-20;0155228251;04/02/2025;TODAS
PROSTATAL;HERBARIUM LABORATORIO BOTANICO LTDA;78.950.011/0001-20;2878190211;23/07/2021;TODAS
COCICHIMIL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1593658249;21/11/2024;TODAS
SECTIL;BRASTERAPICA PHARMACEUTICA LTDA.;46.179.008/0001-68;0556922255;25/04/2025;TODAS
cloridrato de irinotecano;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;1067472258;14/08/2025;TODAS
SPECTOFLUX;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0825966256;23/06/2025;TODAS
KADCYLA;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;33.009.945/0001-23;0824768256;23/06/2025;TODAS
TEUPANTOL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1113608211;23/03/2021;TODAS
TIBOLONA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1730342248;18/12/2024;TODAS
ácido zoledrônico;SUN FARMACÊUTICA DO BRASIL LTDA;05.035.244/0001-23;0445388251;01/04/2025;TODAS
Remsima;CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA;05.452.889/0001-61;1020205253;08/08/2025;TODAS
SECDAZOL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;0349390258;14/03/2025;TODAS
PURINETHOL;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;02.433.631/0001-20;0355278251;17/03/2025;TODAS
DIPIRONA SÓDICA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0529567253;17/04/2025;TODAS
NEOCOFLAN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0928625249;08/07/2024;TODAS
HEMITARTARATO DE RIVASTIGMINA;INSTITUTO VITAL BRAZIL S/A;30.064.034/0001-00;1021325252;08/08/2025;TODAS
GABALLON;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0768699258;06/06/2025;TODAS
NIKI;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0766428257;06/06/2025;TODAS
GASTROL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0549735232;30/05/2023;TODAS
Dorene;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0303966246;12/03/2024;TODAS
SENARETI;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;2755526211;15/07/2021;TODAS
PARNATE;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;0793476259;12/06/2025;TODAS
MESILATO DE IMATINIBE;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0601076257;05/05/2025;TODAS
INTHOS;FARMOQUÍMICA S/A;33.349.473/0001-58;1371800235;04/12/2023;TODAS
HISTAMIN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;3448079219;01/09/2021;TODAS
SUMAXPRO;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1161307257;29/08/2025;TODAS
FLUTAMIDA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0211706248;22/02/2024;TODAS
GLIADEL;EISAI LABORATÓRIOS LTDA;08.416.362/0001-70;0701666212;22/02/2021;TODAS
DICLOFENACO RESINATO;CIMED INDUSTRIA S.A;02.814.497/0001-07;2667237226;03/05/2022;TODAS
CODYLEX;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1143327182;04/12/2018;TODAS
LORSACOR;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0509960251;14/04/2025;TODAS
cloridrato de fluoxetina;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;4244297204;01/12/2020;TODAS
CIPIDE;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1025598253;11/08/2025;TODAS
BACTRONEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;3963606202;11/11/2020;TODAS
FLEBOGAMMA;GRIFOLS BRASIL LTDA;02.513.899/0001-71;0192583255;11/02/2025;TODAS
FORTEVIT;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;01.858.973/0001-29;3867813206;04/11/2020;TODAS
VAST;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0712680250;27/05/2025;TODAS
ARISTAB;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0073031241;19/01/2024;TODAS
MYRBETRIC;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;1639778241;29/11/2024;TODAS
BENECTRIN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1054223246;01/08/2024;TODAS
amoxicilina + clavulanato de potássio;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0187966249;19/02/2024;TODAS
PROGRAF;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;0943824257;21/07/2025;TODAS
DIGEDRAT;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;1595429213;26/04/2021;TODAS
SUMAX;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1161158251;29/08/2025;TODAS
LEFLUNOMIDA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1656911248;04/12/2024;TODAS
FINALOP;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0966606256;24/07/2025;TODAS
SEEBRI;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0725317256;28/05/2025;TODAS
LEFLUNOMIDA;EMS S/A;57.507.378/0003-65;1363523228;24/03/2022;TODAS
levofloxacino;CIMED INDUSTRIA S.A;02.814.497/0001-07;0808738259;17/06/2025;TODAS
GLIBENCLAMIDA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;2285678223;12/04/2022;TODAS
ORALSEPT;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;83.874.628/0001-43;1511848217;20/04/2021;TODAS
diclofenaco sódico;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;5107220223;29/12/2022;TODAS
GABAPENTINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1042936251;12/08/2025;TODAS
olanzapina;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0128840242;01/02/2024;TODAS
HECLIVIR;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0557393199;25/06/2019;TODAS
dicloridrato de pramipexol;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0271868252;26/02/2025;TODAS
OMNISCAN;GE HEALTHCARE DO BRASIL COMÉRCIO E SERVIÇOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;00.029.372/0001-40;0759464243;06/06/2024;TODAS
mirtazapina;LABORATÓRIO GLOBO SA;17.115.437/0001-73;1101740230;16/10/2023;TODAS
VACINA POLIOMIELITE 1, 2 E 3 (INATIVADA);FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;1017684251;07/08/2025;TODAS
RELVAR ELLIPTA;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;0611144255;06/05/2025;TODAS
CEFALOTINA SÓDICA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;3189643190;19/11/2019;TODAS
ETINILESTRADIOL+DESOGESTREL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;2716095221;12/05/2022;TODAS
ÉSIO;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;2046506218;27/05/2021;TODAS
DUPLIVIR;BLANVER FARMOQUIMICA E FARMACEUTICA S.A.;53.359.824/0001-19;3816021212;27/09/2021;TODAS
EUCAPROL;APIS FLORA INDUSTRIAL E COMERCIAL LTDA;49.345.358/0001-45;4288215226;13/06/2022;TODAS
TELMISARTANA;EMS S/A;57.507.378/0003-65;0383214238;17/04/2023;TODAS
RINGER COM LACTATO;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;2493014208;29/07/2020;TODAS
VALERIANE;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0615277250;07/05/2025;TODAS
TELMISARTANA;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;0129818216;11/01/2021;TODAS
DOBU;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;2725060214;13/07/2021;TODAS
LATANOPROSTA + MALEATO DE TIMOLOL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0665022255;16/05/2025;TODAS
cloridrato de loperamida;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0732143250;29/05/2025;TODAS
MEMORALL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1187795224;18/03/2022;TODAS
ARICILINA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;4698516226;15/09/2022;TODAS
ATRED;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0857086251;30/06/2025;TODAS
maleato de bronfeniramina + cloridrato de fenilefrina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0550566252;24/04/2025;TODAS
ARPYNFLAN;NATULAB LABORATORIO S.A;02.456.955/0001-83;4246398225;02/06/2022;TODAS
LANSOPRAZOL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1183656254;05/09/2025;TODAS
fosfato sódico de prednisolona;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4685101227;13/09/2022;TODAS
NILPERIDOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2535181215;30/06/2021;TODAS
esomeprazol magnésico;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;1173592253;03/09/2025;TODAS
BRONCATAR;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;3898345201;06/11/2020;TODAS
SANILIN;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;4345840210;03/11/2021;TODAS
CLAROFT;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0074822233;24/01/2023;TODAS
ERIVEDGE;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;33.009.945/0001-23;0761212256;05/06/2025;TODAS
SULFATO DE ATAZANAVIR;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0934880255;18/07/2025;TODAS
ANESFENT;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4344889215;03/11/2021;TODAS
ALFAESTRADIOL;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;61.282.661/0001-41;2999379202;04/09/2020;TODAS
METRONIDAZOL;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;0801412251;16/06/2025;TODAS
SOFTALM;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;1995441207;23/06/2020;TODAS
SULFATO DE EFEDRINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1200974239;01/11/2023;TODAS
RENOPRIL;BELFAR LTDA;18.324.343/0001-77;0969812256;25/07/2025;TODAS
hemitartarato de zolpidem;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1041057253;12/08/2025;TODAS
OTOCIRIAX;FARMOQUÍMICA S/A;33.349.473/0001-58;1349328243;01/10/2024;TODAS
MOFILEN;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;0866239251;02/07/2025;TODAS
DESOGESTREL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;2713908221;12/05/2022;TODAS
BLUMEL HEDERA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0396596258;24/03/2025;TODAS
ZOLPROX;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0826414257;23/06/2025;TODAS
VALESSONE;NATULAB LABORATORIO S.A;02.456.955/0001-83;1173726233;26/10/2023;TODAS
FAZOLON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1257141236;14/11/2023;TODAS
CLORIDRATO DE CIPROFLOXACINO;BRASTERAPICA PHARMACEUTICA LTDA.;46.179.008/0001-68;0064771237;20/01/2023;TODAS
CLORIDRATO DE GENCITABINA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0867913258;02/07/2025;TODAS
FOSFATO DISSODICO DE DEXAMETASONA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0963327241;15/07/2024;TODAS
CLORIDRATO DE HIDROXIZINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;0232520224;18/01/2022;TODAS
LUGANO;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4251138210;27/10/2021;TODAS
sulfato de neomicina + bacitracina zíncica;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0063978253;16/01/2025;TODAS
EFRINALIN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1150692251;27/08/2025;TODAS
AMIXAL;LABORATORIOS B. BRAUN S/A;31.673.254/0001-02;0116602244;30/01/2024;TODAS
LOXAM;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1175133256;03/09/2025;TODAS
NOVALGINA;OPELLA HEALTHCARE BRAZIL LTDA;38.391.432/0001-43;0073370258;17/01/2025;TODAS
hemitartarato de zolpidem;EMS S/A;57.507.378/0003-65;0032810253;09/01/2025;TODAS
cloridrato de hidroxizina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1064635213;19/03/2021;TODAS
SULFAMETOXAZOL + TRIMETOPRIMA;EMS S/A;57.507.378/0003-65;1054407240;01/08/2024;TODAS
NEOTAREN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0274292254;26/02/2025;TODAS
FURP-DONEPEZILA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1037879211;17/03/2021;TODAS
CLORIDRATO DE DONEPEZILA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0573261237;05/06/2023;TODAS
DRENATAN;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0600218252;05/05/2025;TODAS
NEOPIRIDIN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1289821241;19/09/2024;TODAS
maleato de dexclorfeniramina + sulfato de pseudoefedrina + guaifenesina;EMS S/A;57.507.378/0003-65;1152882252;28/08/2025;TODAS
FORTEO;ELI LILLY DO BRASIL LTDA;43.940.618/0001-44;0788537253;11/06/2025;TODAS
HEBLAX;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A;08.939.548/0001-03;2594927166;03/01/2023;TODAS
MOTORE;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1176947249;27/08/2024;TODAS
PERMEAR;MARJAN INDÚSTRIA E COMÉRCIO LTDA;60.726.692/0001-81;4601700221;24/08/2022;TODAS
FURP - SULFADIAZINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1152120247;22/08/2024;TODAS
NEOPRAZOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1289965242;19/09/2024;TODAS
CLONAZEPAM (PORT. 344/98 – LISTA B1);PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;4609728207;28/12/2020;TODAS
MICLOX;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;0359652247;22/03/2024;TODAS
DICLORIDRATO DE PRAMIPEXOL;EMS S/A;57.507.378/0003-65;1013302249;24/07/2024;TODAS
ACEBROFILINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0793024251;12/06/2025;TODAS
oxalato de escitalopram;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0543166236;29/05/2023;TODAS
PERJETA HER;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;33.009.945/0001-23;0532139241;23/04/2024;TODAS
MULTILER;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0968757227;09/03/2022;TODAS
REMICADE;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;0792507258;12/06/2025;TODAS
DICLOFENACO SÓDICO;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;2202350190;18/09/2019;TODAS
RABEPRAZOL SODICO;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;1255299212;01/04/2021;TODAS
ÁCIDO ASCÓRBICO HYPOFARMA;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;17.174.657/0001-78;0869537217;05/03/2021;TODAS
ALCACHOFRA MULTILAB;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;0325008193;11/04/2019;TODAS
TRESIBA;NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;82.277.955/0001-55;0547070250;23/04/2025;TODAS
ELIGARD;ADIUM S.A.;55.980.684/0001-27;0420439251;27/03/2025;TODAS
XALANOFT;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0662430255;16/05/2025;TODAS
SOFTDERM;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;83.874.628/0001-43;2361533219;18/06/2021;TODAS
ADCETRIS;TAKEDA PHARMA LTDA.;60.397.775/0001-74;1318145244;25/09/2024;TODAS
XALOFTAL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0679304258;20/05/2025;TODAS
ANCORON;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0260695254;24/02/2025;TODAS
PATZ SL;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0052724255;14/01/2025;TODAS
FLOSSOTEC;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0773430211;26/02/2021;TODAS
CREON;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;0368323251;19/03/2025;TODAS
BENEGRIP;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0531309258;17/04/2025;TODAS
FLOXAMOX;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;2105596173;11/10/2017;TODAS
TACROLIMO;LAB INDL FTCO ALAGOAS SA - LIFAL;12.343.158/0001-43;0981799149;31/10/2014;TODAS
ZIDER;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1368442242;04/10/2024;TODAS
CLORIDRATO DE TANSULOSINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1159320250;29/08/2025;TODAS
TOPIRAMATO;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0329940252;11/03/2025;TODAS
NISOFLAN;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4931986226;11/11/2022;TODAS
DEXTAMINE;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;0661694259;16/05/2025;TODAS
BERIPLEX P/N;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4177386201;26/11/2020;TODAS
FEMOSTON;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;0235571253;19/02/2025;TODAS
ORLISTATE;EMS S/A;57.507.378/0003-65;1011185253;06/08/2025;TODAS
diclofenaco sódico;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0579186253;29/04/2025;TODAS
PREDNISOLONA;EMS S/A;57.507.378/0003-65;0662061250;16/05/2025;TODAS
DUPHASTON;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;0779101251;10/06/2025;TODAS
BETASERC;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;0655192255;15/05/2025;TODAS
ARASID;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;5076533225;21/12/2022;TODAS
XAROPE VICK;PROCTER & GAMBLE DO BRASIL LTDA.;59.476.770/0001-58;4859061225;24/10/2022;TODAS
CARBOCISTEÍNA;CIMED INDUSTRIA S.A;02.814.497/0001-07;1081155189;13/11/2018;TODAS
BALSAMO BENGUE;EMS S/A;57.507.378/0003-65;0971478252;25/07/2025;TODAS
VIBRAL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;4347420218;03/11/2021;TODAS
AMPICILINA SÓDICA + SULBACTAM SÓDICO;VIATRIS FARMACEUTICA DO BRASIL LTDA;11.643.096/0001-22;0147898251;03/02/2025;TODAS
COBAVITAL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;1339850249;30/09/2024;TODAS
CETROTIDE;MERCK S/A;33.069.212/0001-84;1951165215;20/05/2021;TODAS
TEMODAL;MERCK SHARP & DOHME FARMACEUTICA LTDA.;03.560.974/0001-18;0781227241;11/06/2024;TODAS
IBUVIX;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1564844242;13/11/2024;TODAS
TASULIL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0051838231;17/01/2023;TODAS
piperacilina sódica + tazobactam sódico;VIATRIS FARMACEUTICA DO BRASIL LTDA;11.643.096/0001-22;1084032244;08/08/2024;TODAS
RUBROMICIN;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1409658217;13/04/2021;TODAS
NOXAFIL;MERCK SHARP & DOHME FARMACEUTICA LTDA.;03.560.974/0001-18;0360694250;18/03/2025;TODAS
GAMA ANTI-HEPATITE B GRIFOLS;GRIFOLS BRASIL LTDA;02.513.899/0001-71;0192621254;11/02/2025;TODAS
COMBODART;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;0935048251;18/07/2025;TODAS
TOPIRAMATO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1503151247;31/10/2024;TODAS
DERMOTIL FUSID;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;1624515240;27/11/2024;TODAS
L-ENEMA;NATULAB LABORATORIO S.A;02.456.955/0001-83;1027183150;25/11/2015;TODAS
FUMARATO DE TENOFOVIR DESOPROXILA;LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE;10.877.926/0001-13;0911663258;11/07/2025;TODAS
HIRUDOID;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;60.874.187/0001-84;0747915245;04/06/2024;TODAS
ALLEXOFEDRIN D;EMS S/A;57.507.378/0003-65;1117686256;19/08/2025;TODAS
SECNIHEXAL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;2809907218;19/07/2021;TODAS
LEVOTAC;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0361744251;18/03/2025;TODAS
SOMALGIN CARDIO;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;2732478229;17/05/2022;TODAS
Eylia;BAYER S.A.;18.459.628/0001-15;0907956254;11/07/2025;TODAS
TACROLIMO;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0909259241;03/07/2024;TODAS
ZYTIGA;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;1211641244;03/09/2024;TODAS
PRIMOVIST;BAYER S.A.;18.459.628/0001-15;1304364241;23/09/2024;TODAS
SUSTRATE;FARMOQUÍMICA S/A;33.349.473/0001-58;0840200251;26/06/2025;TODAS
POLAREN;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;0922126241;05/07/2024;TODAS
HEDRA EXPEC;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0200816250;12/02/2025;TODAS
ALLURENE;BAYER S.A.;18.459.628/0001-15;3431895212;31/08/2021;TODAS
