Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
gliclazida;CIMED INDUSTRIA S.A;02.814.497/0001-07;1021338249;26/07/2024;TODAS
hemitartarato de zolpidem;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1742720242;20/12/2024;TODAS
COLTRIENO;MYRALIS INDÚSTRIA FARMACÊUTICA LTDA;17.440.261/0001-25;2016232214;25/05/2021;TODAS
DAGLI;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0631527257;09/05/2025;TODAS
aciclovir sódico;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1134295251;22/08/2025;TODAS
cloridrato de fluoxetina;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4678225226;12/09/2022;TODAS
imipenem + cilastatina sódica;Midfarma Produtos Farmaceuticos Ltda;13.863.381/0001-84;1056329216;18/03/2021;TODAS
VANTIL;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;1426520221;28/03/2022;TODAS
PHOXILIUM;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;0470450240;12/04/2024;TODAS
AGUD;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;1063844231;05/10/2023;TODAS
ACETATO DE CLORMADINONA + ETINILESTRADIOL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1164212257;01/09/2025;TODAS
HEDERA 1Farma;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;0617291191;15/07/2019;TODAS
EPCLUSA;GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA;15.670.288/0001-89;1054126241;01/08/2024;TODAS
FIQUEZEN;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;0012345253;06/01/2025;TODAS
Restitue;EMS S/A;57.507.378/0003-65;0297481258;05/03/2025;TODAS
CLORIDRATO DE DULOXETINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0075707233;25/01/2023;TODAS
FUCSIA FEM;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;0931261252;17/07/2025;TODAS
CORUS H;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0356275256;17/03/2025;TODAS
MELOCOX;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1067521259;14/08/2025;TODAS
PROBENXIL;CIMED INDUSTRIA S.A;02.814.497/0001-07;0211279234;02/03/2023;TODAS
EPIKABI;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;1708934243;13/12/2024;TODAS
BECA;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;2060310210;28/05/2021;TODAS
ALTIVA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4366950219;05/11/2021;TODAS
ATENOLOL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0992376254;31/07/2025;TODAS
CLORIDRATO DE AMIODARONA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0435179197;16/05/2019;TODAS
paracetamol + cafeína;EMS S/A;57.507.378/0003-65;0710950250;26/05/2025;TODAS
HALAVEN;UNITED MEDICAL LTDA;68.949.239/0001-46;0775079251;09/06/2025;TODAS
ivermectina;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1057691241;02/08/2024;TODAS
cloridrato de fexofenadina + cloridrato de pseudoefedrina;EMS S/A;57.507.378/0003-65;1117714250;19/08/2025;TODAS
FERANE 35;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;0843967251;27/06/2025;TODAS
VOEXTOR;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1164278240;23/08/2024;TODAS
ABMETHA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0665963246;20/05/2024;TODAS
BRYONY;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;1560579242;13/11/2024;TODAS
NIENZA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1254396241;12/09/2024;TODAS
LEXLER;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1652030247;03/12/2024;TODAS
