Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Data de Publicação (dt);Categoria
MESILATO DE IMATINIBE;EMS S/A;57.507.378/0003-65;4363380225;30/06/2022;2022-06-30;generico
GLIMATIN;EMS S/A;57.507.378/0003-65;4363386223;30/06/2022;2022-06-30;similar
BORTEZOMIBE;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;3978166000175;4365300229;30/06/2022;2022-06-30;generico
CLORIDRATO DE PROPRANOLOL;EMS S/A;57.507.378/0003-65;4364567221;30/06/2022;2022-06-30;generico
AGRYLIN;TAKEDA PHARMA LTDA.;60.397.775/0001-74;4364240222;30/06/2022;2022-06-30;novo
LEUPHILA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4363422220;30/06/2022;2022-06-30;similar
bromoprida;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4365293222;30/06/2022;2022-06-30;generico
MIFLONIDE;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4366330229;30/06/2022;2022-06-30;novo
MIFLONIDE BRIZZ;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4366336227;30/06/2022;2022-06-30;novo
PROPRANOLOL;EMS SIGMA PHARMA LTDA;923140000131;4364974226;30/06/2022;2022-06-30;similar
MESILATO DE IMATINIBE;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4363436221;30/06/2022;2022-06-30;generico
CELLCEPT;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;33.009.945/0001-23;4361192227;30/06/2022;2022-06-30;novo
bromoprida;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4365322222;30/06/2022;2022-06-30;generico
IMURAN;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;2433631000120;4365264222;30/06/2022;2022-06-30;novo
SORO ANTICROTÁLICO;INSTITUTO VITAL BRAZIL S/A;30.064.034/0001-00;4365951220;30/06/2022;2022-06-30;biologico
SPASCUPREEL;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370719224;01/07/2022;2022-07-01;dinamizado
ácido ursodesoxicólico;EMS S/A;57.507.378/0003-65;4370978220;01/07/2022;2022-07-01;generico
NUX VOMICA HOMACCORD;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370721229;01/07/2022;2022-07-01;dinamizado
BERBERIS-HOMACCORD;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370054222;01/07/2022;2022-07-01;dinamizado
VERTIGOHEEL;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4371072224;01/07/2022;2022-07-01;dinamizado
MESILATO DE IMATINIBE;INSTITUTO VITAL BRAZIL S/A;30.064.034/0001-00;4372261225;01/07/2022;2022-07-01;generico
fluconazol;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;1571702000198;4371792227;01/07/2022;2022-07-01;generico
TRAUMEEL S;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4371050221;01/07/2022;2022-07-01;dinamizado
ZEEL COMP N;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4371117228;01/07/2022;2022-07-01;dinamizado
ENGYSTOL;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370424224;01/07/2022;2022-07-01;dinamizado
PIOLETAL;CELLERA FARMACÊUTICA S.A.;33.173.097/0002-74;4370658225;01/07/2022;2022-07-01;similar
EUPHORBIUM COMPOSITUM SN;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370453224;01/07/2022;2022-07-01;dinamizado
GRIPPHEEL;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370499224;01/07/2022;2022-07-01;dinamizado
LYMPHOMYOSOT;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370592224;01/07/2022;2022-07-01;dinamizado
AMPICILINA SÓDICA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4370555221;01/07/2022;2022-07-01;generico
maleato de enalapril + hidroclorotiazida;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4371305229;01/07/2022;2022-07-01;generico
NEUREXAN;HEEL DO BRASIL BIOMÉDICA LTDA;5994539000127;4370686229;01/07/2022;2022-07-01;dinamizado
PROLOPA;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;33.009.945/0001-23;4370955220;01/07/2022;2022-07-01;novo
BOSENTANA;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;4367419223;01/07/2022;2022-07-01;generico
HIDROCLOROTIAZIDA;EMS S/A;57.507.378/0003-65;4376443221;04/07/2022;2022-07-04;generico
capecitabina;LABORATORIO QUIMICO FARMACEUTICO DA AERONAUTICA;394429009914;4375986221;04/07/2022;2022-07-04;generico
tartarato de brimonidina;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4378361221;04/07/2022;2022-07-04;generico
bissulfato de clopidogrel;EMS S/A;57.507.378/0003-65;4378092221;04/07/2022;2022-07-04;generico
MICRODIOL;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;4377756222;04/07/2022;2022-07-04;novo
hidroclorotiazida;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4376738221;04/07/2022;2022-07-04;generico
TIMEOLATE;LABORATÓRIO TAYUYNA LTDA;60.879.848/0001-64;4377912224;04/07/2022;2022-07-04;similar
CLOPIDO-GRAN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4377889222;04/07/2022;2022-07-04;similar
PLAQUEVIX;EMS S/A;57.507.378/0003-65;4378015226;04/07/2022;2022-07-04;similar
hidroclorotiazida;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4377208225;04/07/2022;2022-07-04;generico
DORFLEX;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4377845225;04/07/2022;2022-07-04;novo
bissulfato de clopidogrel;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4377954229;04/07/2022;2022-07-04;generico
etinilestradiol + gestodeno;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4374029222;04/07/2022;2022-07-04;generico
PLUTO;SUN FARMACÊUTICA DO BRASIL LTDA;5035244000123;4382636221;05/07/2022;2022-07-05;similar
LIVIAL;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;4383906222;05/07/2022;2022-07-05;novo
Jakavi;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4382288223;05/07/2022;2022-07-05;novo
amoxicilina;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;4381773225;05/07/2022;2022-07-05;generico
MAXALGINA;NATULAB LABORATÓRIO S.A;2456955000183;4383385222;05/07/2022;2022-07-05;similar
FLUCONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;4382489229;05/07/2022;2022-07-05;generico
bissulfato de clopidogrel;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;4382616221;05/07/2022;2022-07-05;generico
montelucaste de sódio + dicloridrato de levocetirizina;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4382350221;05/07/2022;2022-07-05;generico
HEMIFUMARATO DE QUETIAPINA;LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE;10.877.926/0001-13;4383226221;05/07/2022;2022-07-05;generico
FLUCONID;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;4383783228;05/07/2022;2022-07-05;similar
MESILATO DE IMATINIBE;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;4382554225;05/07/2022;2022-07-05;generico
INILOK;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4379326225;05/07/2022;2022-07-05;similar
CLOPIPLAX;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4383471226;05/07/2022;2022-07-05;similar
PAMERGAN;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;4383490221;05/07/2022;2022-07-05;similar
TRUVADA;GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA;15.670.288/0001-89;4388050229;06/07/2022;2022-07-06;novo
TRINULOX;EMS S/A;57.507.378/0003-65;4388747220;06/07/2022;2022-07-06;similar
fluconazol;CIMED INDUSTRIA S.A;2814497000107;4389544225;06/07/2022;2022-07-06;generico
SUAVICID;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4388674222;06/07/2022;2022-07-06;similar
espironolactona;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;4384787227;06/07/2022;2022-07-06;generico
Adakveo;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4389752227;06/07/2022;2022-07-06;biologico
MALENA HCT;EMS SIGMA PHARMA LTDA;923140000131;4388744221;06/07/2022;2022-07-06;similar
HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA;EMS SIGMA PHARMA LTDA;923140000131;4388545228;06/07/2022;2022-07-06;generico
FLUCONAZOL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4388745227;06/07/2022;2022-07-06;generico
HIDROQUINONA+ TRETINOINA + FLUOCINOLONA ACETONIDA;EMS S/A;57.507.378/0003-65;4388820229;06/07/2022;2022-07-06;generico
MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA;EMS S/A;57.507.378/0003-65;4388712221;06/07/2022;2022-07-06;generico
REVOLADE;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4390343220;06/07/2022;2022-07-06;novo
cloridrato de fexofenadina;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4388713228;06/07/2022;2022-07-06;generico
HORMOSKIN;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4388622222;06/07/2022;2022-07-06;similar
maleato de enalapril + hidroclorotiazida;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4388751227;06/07/2022;2022-07-06;generico
BRINTELLIX;LUNDBECK BRASIL LTDA;4522600000170;4389602225;06/07/2022;2022-07-06;novo
FLUCONAZOL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;4388045225;06/07/2022;2022-07-06;generico
HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4388805220;06/07/2022;2022-07-06;generico
DICLOFENACO SÓDICO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;4395147224;07/07/2022;2022-07-07;generico
FLANCOX;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4395024220;07/07/2022;2022-07-07;novo
INFLALID;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4394275229;07/07/2022;2022-07-07;similar
nimesulida;EMS S/A;57.507.378/0003-65;4394331226;07/07/2022;2022-07-07;generico
INFLALID;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4393465229;07/07/2022;2022-07-07;similar
NIMESULIDA;EMS S/A;57.507.378/0003-65;4392057224;07/07/2022;2022-07-07;generico
TACHOSIL;MANDALA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE PRODUTO MÉDICO HOSPITALAR LTDA;9117476000181;4394259223;07/07/2022;2022-07-07;biologico
nimesulida;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4394390222;07/07/2022;2022-07-07;generico
REMERON;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;4395771220;07/07/2022;2022-07-07;novo
cetoprofeno;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4394769221;07/07/2022;2022-07-07;generico
fluconazol;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;4394885221;07/07/2022;2022-07-07;generico
METRONIDAZOL + NISTATINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4394969221;07/07/2022;2022-07-07;generico
VACINA ADSORVIDA HEPATITE B (RECOMBINANTE);INSTITUTO BUTANTAN;61.821.344/0001-56;4394461227;07/07/2022;2022-07-07;biologico
PLASIL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4395245226;07/07/2022;2022-07-07;novo
NIMESILAM;EMS SIGMA PHARMA LTDA;923140000131;4392404226;07/07/2022;2022-07-07;similar
Nimesulida;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4393581229;07/07/2022;2022-07-07;generico
COLPATRIN;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4394827221;07/07/2022;2022-07-07;similar
NIMESILAM;EMS SIGMA PHARMA LTDA;923140000131;4393693221;07/07/2022;2022-07-07;similar
METILDOPA;EMS S/A;57.507.378/0003-65;4395969224;07/07/2022;2022-07-07;generico
FLUCANIL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;4394894221;07/07/2022;2022-07-07;similar
INTRATECT;BIOTEST FARMACÊUTICA LTDA;33.348.731/0001-81;4400039226;08/07/2022;2022-07-08;biologico
NAC;EMS SIGMA PHARMA LTDA;923140000131;4400040224;08/07/2022;2022-07-08;similar
Alginac;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4406703225;11/07/2022;2022-07-11;novo
TRIFAMOX;Laboratórios Bagó do Brasil S/A;4748181000947;4408630225;11/07/2022;2022-07-11;novo
QUESTRAN LIGHT;MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA;7591326000180;4405021228;11/07/2022;2022-07-11;novo
Dexa-Citoneurin NFF;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4408329223;11/07/2022;2022-07-11;novo
CETROLAC;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;4407384221;11/07/2022;2022-07-11;similar
FERINJECT;BLANVER FARMOQUIMICA E FARMACÊUTICA S.A.;53.359.824/0001-19;4408264229;11/07/2022;2022-07-11;especifico
Amoxicilina;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;4409160222;11/07/2022;2022-07-11;generico
NORIPURUM FÓLICO;BLANVER FARMOQUIMICA E FARMACÊUTICA S.A.;53.359.824/0001-19;4408381225;11/07/2022;2022-07-11;especifico
indapamida;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;4405857229;11/07/2022;2022-07-11;generico
bosentana;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;4409237225;11/07/2022;2022-07-11;generico
NORIPURUM EV;BLANVER FARMOQUIMICA E FARMACÊUTICA S.A.;53.359.824/0001-19;4408327221;11/07/2022;2022-07-11;especifico
CITONEURIN;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4406754229;11/07/2022;2022-07-11;especifico
SUGADIOZ;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;4408301221;11/07/2022;2022-07-11;similar
TENOXICAM;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;4409302221;11/07/2022;2022-07-11;generico
HUMECTOL D;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4409659227;11/07/2022;2022-07-11;novo
Losartana Potássica + Hidroclorotiazida;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4408117226;11/07/2022;2022-07-11;generico
NORIPURUM;BLANVER FARMOQUIMICA E FARMACÊUTICA S.A.;53.359.824/0001-19;4408310221;11/07/2022;2022-07-11;especifico
BART H;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4412699226;12/07/2022;2022-07-12;similar
RIPOSO SL;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4415583229;12/07/2022;2022-07-12;similar
captopril;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4415408222;12/07/2022;2022-07-12;generico
alprazolam;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4415869220;12/07/2022;2022-07-12;generico
IRBESARTANA+ HIDROCLOROTIAZIDA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4413382226;12/07/2022;2022-07-12;generico
BOZORED;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;3978166000175;4415867227;12/07/2022;2022-07-12;similar
AGLUCOSE;EMS SIGMA PHARMA LTDA;923140000131;4415780229;12/07/2022;2022-07-12;similar
hemitartarato de zolpidem;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4415687229;12/07/2022;2022-07-12;generico
cloridrato de paroxetina;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;2501297000102;4415904220;12/07/2022;2022-07-12;generico
alprazolam;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4415791221;12/07/2022;2022-07-12;generico
bissulfato de clopidogrel;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4415987222;12/07/2022;2022-07-12;generico
ALPRAZOLAM;EMS S/A;57.507.378/0003-65;4415725228;12/07/2022;2022-07-12;generico
ALFRON;EMS SIGMA PHARMA LTDA;923140000131;4415748228;12/07/2022;2022-07-12;similar
ONDIF;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4413126220;12/07/2022;2022-07-12;novo
Turno SL;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4415898220;12/07/2022;2022-07-12;similar
AMOXICILINA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4415399223;12/07/2022;2022-07-12;generico
sinvastatina;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4415352227;12/07/2022;2022-07-12;similar
HEIMER;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4415222226;12/07/2022;2022-07-12;similar
ZOLADEX;ASTRAZENECA DO BRASIL LTDA;60.318.797/0001-00;4414082226;12/07/2022;2022-07-12;novo
AZITROMICINA;EMS S/A;57.507.378/0003-65;4422006223;13/07/2022;2022-07-13;generico
cimetidina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4417714223;13/07/2022;2022-07-13;generico
amoxicilina;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;4422661221;13/07/2022;2022-07-13;generico
gabapentina;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;2501297000102;4422399225;13/07/2022;2022-07-13;generico
AZI;EMS SIGMA PHARMA LTDA;923140000131;4422037226;13/07/2022;2022-07-13;similar
azitromicina;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4422121227;13/07/2022;2022-07-13;generico
AZITROGRAN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4422087223;13/07/2022;2022-07-13;similar
BIO-MANGUINHOS SOMATROPINA;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;4418432221;13/07/2022;2022-07-13;biologico
Ártico Caps;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4422627228;13/07/2022;2022-07-13;biologico
SEIZLA;TORRENT DO BRASIL LTDA;33.078.528/0001-32;4428082223;14/07/2022;2022-07-14;similar
BICARBONATO DE SÓDIO - FARMACE;FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA;6628333000146;4428467222;14/07/2022;2022-07-14;especifico
AMOXICILINA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4428013221;14/07/2022;2022-07-14;generico
ACICLOR;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;4428860226;14/07/2022;2022-07-14;similar
MARACUGINA PI (Passiflora incarnata L);COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4428978227;14/07/2022;2022-07-14;fitoterapico
ONCASPAR;LABORATÓRIOS SERVIER DO BRASIL LTDA;42.374.207/0001-76;4434695223;15/07/2022;2022-07-15;biologico
BROMIDRATO DE GALANTAMINA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4431825223;15/07/2022;2022-07-15;generico
DODOY;Jarrell Farmacêutica Ltda EPP;68.240.779/0001-56;4434020226;15/07/2022;2022-07-15;similar
GALZET;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4431244221;15/07/2022;2022-07-15;similar
GAUDY;EMS S/A;57.507.378/0003-65;4431695222;15/07/2022;2022-07-15;similar
CABERGOLINA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4431803220;15/07/2022;2022-07-15;generico
COLÍRIO TEUTO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4433045225;15/07/2022;2022-07-15;similar
Hedera Cimed;CIMED INDUSTRIA S.A;2814497000107;4433132225;15/07/2022;2022-07-15;fitoterapico
GAMMAR;ZYDUS NIKKHO FARMACÊUTICA LTDA;5254971000181;4431425225;15/07/2022;2022-07-15;novo
NIMESULIDA;CIMED INDUSTRIA S.A;2814497000107;4431332227;15/07/2022;2022-07-15;generico
CAPTOPRIL;EMS S/A;57.507.378/0003-65;4431765221;15/07/2022;2022-07-15;generico
ZOUP SL;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;4431094229;15/07/2022;2022-07-15;similar
CABERGOLINA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4431305220;15/07/2022;2022-07-15;generico
DIGESTIL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4433148229;15/07/2022;2022-07-15;similar
aciclovir;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;2501297000102;4431923225;15/07/2022;2022-07-15;generico
CABERGOLINA;EMS SIGMA PHARMA LTDA;923140000131;4432015225;15/07/2022;2022-07-15;generico
captopril;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;4433195227;15/07/2022;2022-07-15;generico
BERGOX;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4431380221;15/07/2022;2022-07-15;similar
CABERGOLINA;EMS S/A;57.507.378/0003-65;4431719229;15/07/2022;2022-07-15;generico
captopril;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4431794221;15/07/2022;2022-07-15;generico
BROMIDRATO DE GALANTAMINA;EMS S/A;57.507.378/0003-65;4431676228;15/07/2022;2022-07-15;generico
TREXACONT;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4435350220;16/07/2022;2022-07-16;similar
RELVAR ELLIPTA;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;4435137224;16/07/2022;2022-07-16;novo
ACIDO TRANEXAMICO;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4435354225;16/07/2022;2022-07-16;generico
TRANEGER;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4435363224;16/07/2022;2022-07-16;similar
ácido tranexâmico;EMS S/A;57.507.378/0003-65;4435344220;16/07/2022;2022-07-16;generico
VISIPAQUE;GE HEALTHCARE DO BRASIL COMÉRCIO E SERVIÇOS PARA EQUIPAMENTOS MEDICO - HOSPITALARES LTDA;29372000140;4441092229;18/07/2022;2022-07-18;novo
ATAK CLAV;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4437052226;18/07/2022;2022-07-18;similar
bromoprida;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4438338221;18/07/2022;2022-07-18;generico
bissulfato de clopidogrel;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4438322227;18/07/2022;2022-07-18;generico
KAOSEC;PHARMASCIENCE INDÚSTRIA FARMACÊUTICA LTDA;25.773.037/0001-83;4437302222;18/07/2022;2022-07-18;similar
SINOT CLAV;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4437066227;18/07/2022;2022-07-18;similar
CLORIDRATO DE DORZOLAMIDA;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4438512221;18/07/2022;2022-07-18;generico
acetato de abiraterona;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;4441329229;18/07/2022;2022-07-18;generico
Amoxicilina + Clavulanato de Potássio;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4437047222;18/07/2022;2022-07-18;generico
PRASILENCE;PHARMASCIENCE INDÚSTRIA FARMACÊUTICA LTDA;25.773.037/0001-83;4438764220;18/07/2022;2022-07-18;fitoterapico
CLOPIN;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4438248221;18/07/2022;2022-07-18;similar
AGUA INGLESA CATARINENSE;LABORATORIO CATARINENSE LTDA;84.684.620/0001-87;4445354228;19/07/2022;2022-07-19;fitoterapico
LIPIBLOCK;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4445822221;19/07/2022;2022-07-19;similar
BISSULFATO DE CLOPIDOGREL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;4445964221;19/07/2022;2022-07-19;generico
ORLIPID;EMS SIGMA PHARMA LTDA;923140000131;4445769223;19/07/2022;2022-07-19;similar
BISSULFATO DE CLOPIDOGREL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;4443474226;19/07/2022;2022-07-19;generico
ZOLREM SL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4444165227;19/07/2022;2022-07-19;similar
SILUESTAT;EMS S/A;57.507.378/0003-65;4445697222;19/07/2022;2022-07-19;similar
BISSULFATO DE CLOPIDOGREL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;4442160228;19/07/2022;2022-07-19;generico
DORFLEX UNO;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4445749222;19/07/2022;2022-07-19;similar
ORLISTATE;EMS S/A;57.507.378/0003-65;4445394220;19/07/2022;2022-07-19;generico
STILRAM SL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4443883223;19/07/2022;2022-07-19;similar
orlistate;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4445853224;19/07/2022;2022-07-19;generico
claritromicina;MANDALA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE PRODUTO MÉDICO HOSPITALAR LTDA;9117476000181;4446219227;19/07/2022;2022-07-19;generico
DESLORATADINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;4442416222;19/07/2022;2022-07-19;generico
ELIXIR PAREGÓRICO CATARINENSE;LABORATORIO CATARINENSE LTDA;84.684.620/0001-87;4445374229;19/07/2022;2022-07-19;fitoterapico
PATZ SL;EMS SIGMA PHARMA LTDA;923140000131;4450061225;19/07/2022;2022-07-19;novo
orlistate;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;4445987221;19/07/2022;2022-07-19;generico
UNIFENTAL;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;4444453222;19/07/2022;2022-07-19;similar
NEXT;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;4445066222;19/07/2022;2022-07-19;similar
hemitartarato de zolpidem;EMS S/A;57.507.378/0003-65;4444058226;19/07/2022;2022-07-19;generico
PLANTABEN;MYLAN LABORATORIOS LTDA;11.643.096/0001-22;4447018225;19/07/2022;2022-07-19;fitoterapico
hemitartarato de zolpidem;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;4443650229;19/07/2022;2022-07-19;generico
