Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
MEBENIX;CIMED INDUSTRIA S.A;02.814.497/0001-07;300943172;23/02/2017;;2017-02-23;;;novo_em_relatorio
mesilato de doxazosina;EMS S/A;57.507.378/0003-65;1001760255;04/08/2025;;2025-08-04;;;novo_em_relatorio
Fenitoína;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;617461252;07/05/2025;;2025-05-07;;;novo_em_relatorio
SULFATO DE GENTAMICINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1600809243;22/11/2024;;2024-11-22;;;novo_em_relatorio
levofloxacino;EMS S/A;57.507.378/0003-65;569405254;28/04/2025;;2025-04-28;;;novo_em_relatorio
cloridrato de bupivacaína hiperbárica;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;17.174.657/0001-78;1014222257;06/08/2025;;2025-08-06;;;novo_em_relatorio
CARBAMAZEPINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;578414252;29/04/2025;;2025-04-29;;;novo_em_relatorio
ACETATO DE DEXAMETASONA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1257767241;12/09/2024;;2024-09-12;;;novo_em_relatorio
ÁGUA PARA INJEÇÃO;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;460415176;22/03/2017;;2017-03-22;;;novo_em_relatorio
CLORIDRATO DE METFORMINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;3748996217;22/09/2021;;2021-09-22;;;novo_em_relatorio
LFM - OFLOXACINO;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;1720128243;17/12/2024;;2024-12-17;;;novo_em_relatorio
GABAPENTINA;EMS S/A;57.507.378/0003-65;1063234239;05/10/2023;;2023-10-05;;;novo_em_relatorio
ELANI;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;617509255;07/05/2025;;2025-05-07;;;novo_em_relatorio
FENAREN;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;637803256;12/05/2025;;2025-05-12;;;novo_em_relatorio
ERITROPOIETINA;CHRON EPIGEN INDÚSTRIA E COMÉRCIO LTDA;04.415.365/0001-38;243619171;13/02/2017;;2017-02-13;;;novo_em_relatorio
TOPIRAMATO;EMS S/A;57.507.378/0003-65;651548250;14/05/2025;;2025-05-14;;;novo_em_relatorio
OTO BETNOVATE;FARMOQUÍMICA S/A;33.349.473/0001-58;1419444247;16/10/2024;;2024-10-16;;;novo_em_relatorio
DORSPAN;EMS S/A;57.507.378/0003-65;988251256;30/07/2025;;2025-07-30;;;novo_em_relatorio
AMOXIL;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;709680252;26/05/2025;;2025-05-26;;;novo_em_relatorio
DOBUTREX;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;1445458211;15/04/2021;;2021-04-15;;;novo_em_relatorio
DESONIDA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1423607244;16/10/2024;;2024-10-16;;;novo_em_relatorio
NITRAZEPAM (PORT 344/98 LISTA B1);GERMED FARMACEUTICA LTDA;45.992.062/0001-65;767646240;07/06/2024;;2024-06-07;;;novo_em_relatorio
PARKIDOPA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;539694258;22/04/2025;;2025-04-22;;;novo_em_relatorio
XOLAIR;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;653557256;14/05/2025;;2025-05-14;;;novo_em_relatorio
TENADREN;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;1011219255;06/08/2025;;2025-08-06;;;novo_em_relatorio
