"disease","disease_label","alt_label"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan-van Bogaert-Bertrand Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Deficiency Disease, Aspartoacylase"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Familial Form of Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Infantile Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Juvenile Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Leukodystrophy, Spongiform"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Neonatal Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Spongy Degeneration Of Central Nervous System"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Spongy Degeneration of Infancy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Spongy Degeneration of White Matter In Infancy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Spongy Degeneration of the Brain"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Spongy Degeneration of the Central Nervous System"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Spongy Disease of Central Nervous System"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Spongy Disease of White Matter"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Sporadic Form of Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Type I Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Type II Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Type III Canavan Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Van Bogaert-Bertrand Syndrome"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Von Bogaert-Bertrand Disease"
